ID,HouseType,Size,Price,LotSize,Balcony,LivingSpace,NumberRooms,YearBuilt,Locality,PostalCode
4000746272,SINGLE_HOUSE,L,2587200.0,1071.0,,300.0,9.5,1969.0,Wohlen AG,5610
4000746268,ROW_HOUSE,L,1565550.0,260.0,,180.0,7.5,2019.0,Attalens,1616
4000746267,ROW_HOUSE,L,2785650.0,371.0,,240.0,8.5,1945.0,Cartigny,1236
4000746266,ROW_HOUSE,L,2425500.0,399.0,,290.0,8.5,2010.0,Penthaz,1303
4000746026,ROW_HOUSE,L,3275160.0,295.0,,350.0,11.5,1989.0,Volketswil,8604
4000744643,SINGLE_HOUSE,L,4630500.0,560.0,,350.0,11.5,2018.0,St-Légier-La Chiésaz,1806
4000744566,SINGLE_HOUSE,L,874650.0,461.0,,159.0,7.5,1957.0,Muhen,5037
4000744311,SINGLE_HOUSE,L,882000.0,398.0,,220.0,11.0,1779.0,Niederteufen,9052
4000743940,SINGLE_HOUSE,L,1837500.0,427.0,,240.0,11.5,1981.0,Bronschhofen,9552
4000743760,SINGLE_HOUSE,L,0.0,855.0,,,,2005.0,Ulrichen,3988
4000743737,SINGLE_HOUSE,L,1411200.0,598.0,,190.0,9.5,1980.0,Marbach SG,9437
4000741968,SINGLE_HOUSE,L,808500.0,809.0,,140.0,7.5,1900.0,Meiringen,3860
4000735392,SINGLE_HOUSE,L,1345050.0,729.0,,250.0,7.5,2000.0,Misery,1721
